Industry,type,ISIN,Air Quality,Climate Exposure,Ecological Impact,Energy Management,Environmental Supply Chain Management,GHG Emissions Management,Sustainable Finance,Sustainable Product,Waste Management,Water Management,ENVIRONMENTAL SCORE,Mean Environmental,Air Quality Classification,Climate Exposure Classification,Ecological Impact Classification,Energy Management Classification,Environmental Supply Chain Management Classification,GHG Emissions Management Classification,Sustainable Finance Classification,Sustainable Product Classification,Waste Management Classification,Water Management Classification
Semiconductors,Environmental,KYG234201138,,,,4.183458328,,1.850686908,,0.0,0.0,2.817672491,2.34092854374,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Leading,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0002466000,,,,2.554430246,,0.342395991,,0.0,0.0,5.205124855,2.3723780091299997,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Below Median,NaN,Leading,Below Median,Above Median
Semiconductors,Environmental,MYL7204OO000,,,,3.147035599,,2.77080512,,0.0,4.552456379,3.544402122,2.8684061835900003,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Above Median,NaN,Leading,Above Median,Leading
Semiconductors,Environmental,JP3487600003,,,,0.0,,2.651576042,,0.0,0.0,0.0,0.34470488546,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Above Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,CNE000000X87,,,,2.838572025,,0.342395991,,1.5,3.0,5.327308655,3.06427568283,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Below Median,NaN,Above Median,Leading,Above Median
Semiconductors,Environmental,TW0003094009,,,,3.023373842,,3.532427549,,0.0,0.0,3.902435064,2.53695825317,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Above Median,NaN,Leading,Below Median,Leading
Semiconductors,Environmental,KR7000990002,,,,1.908576369,,0.342395991,,0.0,3.0,2.663224459,1.7460517272299998,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Leading,Below Median
Semiconductors,Environmental,US2545431015,,,,4.194081783,,0.342395991,,0.0,3.0,4.784606934,3.06811809393,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Below Median,NaN,Leading,Leading,Above Median
Semiconductors,Environmental,JP3548600000,,,,7.194595814,,6.746692657,,3.0,0.0,4.941636086,4.99793961541,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Below Median,Above Median
Semiconductors,Environmental,CNE100001RT7,,,,6.427149773,,2.684102774,,0.0,7.986621857,4.783387661,4.5906229950899995,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Leading,Above Median,Above Median
