Isin,Year,yhat
US8807701029,2033,45.010511432349546
US8807701029,2034,46.95492994061599
US8807701029,2035,49.05791967746184
US8807701029,2036,46.29646900682931
US8807701029,2037,48.08063303670649
US8807701029,2038,50.025051544971134
US8807701029,2039,52.12804128180959
US8807701029,2040,49.36659061119681
US8807701029,2041,51.150754641090984
US8807701029,2042,53.095173149332126
US8807701029,2043,55.19816288620314
US8807701029,2044,52.43671221558073
US8807701029,2045,54.22087624545547
US8807701029,2046,56.16529475369964
US8807701029,2047,58.26828449056668
US8807701029,2048,55.50683381994057
US8825081040,2023,1516.5203952333752
US8825081040,2024,1753.8322127273236
US8825081040,2025,1661.0353841370056
US8825081040,2026,1551.2371053245354
US8825081040,2027,1424.5760357521485
US8825081040,2028,1661.8878532450026
US8825081040,2029,1569.09102465403
US8825081040,2030,1459.2927458421238
US8825081040,2031,1332.6316762679878
US8825081040,2032,1569.9434937619608
US8825081040,2033,1477.1466651724334
US8825081040,2034,1367.3483863584474
US8825081040,2035,1240.6873167861022
US8825081040,2036,1477.9991342806504
US8825081040,2037,1385.2023056910375
US8825081040,2038,1275.404026877238
US8825081040,2039,1148.7429573056515
US8825081040,2040,1386.0547747984015
US8825081040,2041,1293.2579462074875
US8825081040,2042,1183.4596673954175
US8825081040,2043,1056.7985978212957
US8825081040,2044,1294.1104153150327
US8825081040,2045,1201.3135867254916
US8825081040,2046,1091.5153079132715
US8825081040,2047,964.8542383394094
US8825081040,2048,1202.1660558333476
TW0003437000,2023,11.86762365549616
TW0003437000,2024,10.497260267930065
TW0003437000,2025,10.632808172342974
TW0003437000,2026,10.792865364011215
TW0003437000,2027,10.976870739935572
TW0003437000,2028,9.606507352373267
TW0003437000,2029,9.742055256789236
TW0003437000,2030,9.902112448454233
TW0003437000,2031,10.086117824385074
TW0003437000,2032,8.71575443682027
TW0003437000,2033,8.851302341229166
TW0003437000,2034,9.011359532903455
TW0003437000,2035,9.195364908826523
TW0003437000,2036,7.82500152125844
TW0003437000,2037,7.960549425668145
TW0003437000,2038,8.120606617342144
TW0003437000,2039,8.30461199326324
TW0003437000,2040,6.934248605701121
TW0003437000,2041,7.069796510116685
TW0003437000,2042,7.229853701782827
TW0003437000,2043,7.41385907771361
TW0003437000,2044,6.043495690149954
TW0003437000,2045,6.179043594558259
TW0003437000,2046,6.339100786225407
TW0003437000,2047,6.52310616215506
TW0003437000,2048,5.152742774589682
TW0008261009,2023,0.437065723731489
TW0008261009,2024,0.4333801345851112
TW0008261009,2025,0.4205574349633403
TW0008261009,2026,0.41175417647089535
TW0008261009,2027,0.4069622701240414
TW0008261009,2028,0.4032766809778039
TW0008261009,2029,0.39045398135600684
TW0008261009,2030,0.38165072286369384
TW0008261009,2031,0.376858816516923
TW0008261009,2032,0.37317322737046066
TW0008261009,2033,0.36035052774869136
TW0008261009,2034,0.35154726925629837
TW0008261009,2035,0.3467553629096082
TW0008261009,2036,0.3430697737631544
TW0008261009,2037,0.33024707414138343
TW0008261009,2038,0.3214438156489455
TW0008261009,2039,0.3166519093020828
TW0008261009,2040,0.3129663201558721
TW0008261009,2041,0.30014362053411414
TW0008261009,2042,0.29134036204171615
TW0008261009,2043,0.28654845569494014
TW0008261009,2044,0.28286286654848763
TW0008261009,2045,0.27004016692682337
TW0008261009,2046,0.26123690843437036
TW0008261009,2047,0.2564450020876264
TW0008261009,2048,0.25275941294123316
JP3122400009,2023,30.39473983313975
JP3122400009,2024,28.80300164473829
JP3122400009,2025,28.2228214099084
JP3122400009,2026,27.45542896418009
JP3122400009,2027,26.50075601239251
JP3122400009,2028,24.909017823988417
JP3122400009,2029,24.328837589160752
JP3122400009,2030,23.561445143427342
JP3122400009,2031,22.606772191638253
JP3122400009,2032,21.015034003242953
JP3122400009,2033,20.43485376840891
JP3122400009,2034,19.66746132268124
JP3122400009,2035,18.712788370887974
JP3122400009,2036,17.12105018248809
JP3122400009,2037,16.540869947656283
JP3122400009,2038,15.773477501930657
JP3122400009,2039,14.818804550142374
JP3122400009,2040,13.227066361737137
JP3122400009,2041,12.64688612690859
JP3122400009,2042,11.879493681177784
JP3122400009,2043,10.924820729388799
JP3122400009,2044,9.333082540994305
JP3122400009,2045,8.75290230615716
JP3122400009,2046,7.98550986042833
JP3122400009,2047,7.03083690863852
JP3122400009,2048,5.439098720239947
DE000A0WMPJ6,2023,-2.1119542392628787
DE000A0WMPJ6,2024,-1.584472301027101
DE000A0WMPJ6,2025,-2.4627015922872237
DE000A0WMPJ6,2026,-3.3477431180847104
DE000A0WMPJ6,2027,-4.239158232664108
DE000A0WMPJ6,2028,-3.711676294430762
DE000A0WMPJ6,2029,-4.589905585693788
DE000A0WMPJ6,2030,-5.474947111487388
DE000A0WMPJ6,2031,-6.366362226072329
DE000A0WMPJ6,2032,-5.83888028783782
DE000A0WMPJ6,2033,-6.71710957909468
DE000A0WMPJ6,2034,-7.602151104897319
DE000A0WMPJ6,2035,-8.493566219474413
DE000A0WMPJ6,2036,-7.966084281237341
DE000A0WMPJ6,2037,-8.84431357249466
DE000A0WMPJ6,2038,-9.72935509829723
DE000A0WMPJ6,2039,-10.620770212873671
DE000A0WMPJ6,2040,-10.093288274640358
DE000A0WMPJ6,2041,-10.971517565902683
DE000A0WMPJ6,2042,-11.856559091697978
DE000A0WMPJ6,2043,-12.74797420628292
DE000A0WMPJ6,2044,-12.220492268049263
DE000A0WMPJ6,2045,-13.098721559304817
DE000A0WMPJ6,2046,-13.983763085101419
DE000A0WMPJ6,2047,-14.875178199685006
DE000A0WMPJ6,2048,-14.347696261449656
KYG022421088,2023,0.33353739928673387
KYG022421088,2024,0.3280027440722614
KYG022421088,2025,0.3342923350043536
KYG022421088,2026,0.3424722045220262
KYG022421088,2027,0.3525335150916392
KYG022421088,2028,0.34699885987726004
KYG022421088,2029,0.3532884508093739
KYG022421088,2030,0.3614683203270648
KYG022421088,2031,0.3715296308967769
KYG022421088,2032,0.36599497568228234
KYG022421088,2033,0.3722845666143358
KYG022421088,2034,0.3804644361320919
KYG022421088,2035,0.39052574670175544
KYG022421088,2036,0.3849910914872322
KYG022421088,2037,0.39128068241929326
KYG022421088,2038,0.39946055193702723
KYG022421088,2039,0.4095218625066023
KYG022421088,2040,0.4039872072922366
KYG022421088,2041,0.41027679822436025
KYG022421088,2042,0.4184566677420297
KYG022421088,2043,0.428517978311741
KYG022421088,2044,0.42298332309726133
KYG022421088,2045,0.42927291402934925
KYG022421088,2046,0.4374527835470077
KYG022421088,2047,0.44751409411671905
KYG022421088,2048,0.4419794389022456
TW0003041000,2023,2.560132853704797
TW0003041000,2024,2.2303182426099646
TW0003041000,2025,2.1118438698511084
TW0003041000,2026,2.027849121194749
TW0003041000,2027,1.9781836304211269
TW0003041000,2028,1.6483690193278862
TW0003041000,2029,1.5298946465694145
TW0003041000,2030,1.445899897913301
TW0003041000,2031,1.3962344071414945
TW0003041000,2032,1.0664197960461765
TW0003041000,2033,0.9479454232867266
TW0003041000,2034,0.8639506746318355
TW0003041000,2035,0.8142851838590444
TW0003041000,2036,0.48447057276333716
TW0003041000,2037,0.3659962000039454
TW0003041000,2038,0.2820014513486533
TW0003041000,2039,0.23233596057436534
TW0003041000,2040,-0.09747865051866
TW0003041000,2041,-0.2159530232769864
TW0003041000,2042,-0.29994777193339806
TW0003041000,2043,-0.34961326270524706
TW0003041000,2044,-0.6794278738003245
TW0003041000,2045,-0.797902246559218
TW0003041000,2046,-0.8818969952158136
TW0003041000,2047,-0.9315624859876874
TW0003041000,2048,-1.2613770970826161
BMG6331P1041,2023,79.98626122196949
BMG6331P1041,2024,87.91912890721375
BMG6331P1041,2025,92.88957326126804
BMG6331P1041,2026,98.26734454776263
BMG6331P1041,2027,104.05232547004135
BMG6331P1041,2028,111.98519315529533
BMG6331P1041,2029,116.95563750934285
BMG6331P1041,2030,122.33340879585568
BMG6331P1041,2031,128.1183897181349
BMG6331P1041,2032,136.05125740336808
BMG6331P1041,2033,141.02170175742793
BMG6331P1041,2034,146.39947304392035
BMG6331P1041,2035,152.1844539662181
BMG6331P1041,2036,160.11732165145662
BMG6331P1041,2037,165.08776600551545
BMG6331P1041,2038,170.46553729200326
BMG6331P1041,2039,176.2505182142852
BMG6331P1041,2040,184.1833858995418
BMG6331P1041,2041,189.1538302535941
BMG6331P1041,2042,194.53160154009635
BMG6331P1041,2043,200.31658246237524
BMG6331P1041,2044,208.24945014760783
BMG6331P1041,2045,213.21989450167968
BMG6331P1041,2046,218.59766578817482
BMG6331P1041,2047,224.3826467104585
BMG6331P1041,2048,232.3155143956997
KYG037AX1015,2023,8.623608229205715
KYG037AX1015,2024,8.846665976640116
KYG037AX1015,2025,9.252545507231453
KYG037AX1015,2026,9.650384940657858
KYG037AX1015,2027,10.040143111544173
KYG037AX1015,2028,10.263200858978653
KYG037AX1015,2029,10.669080389570379
KYG037AX1015,2030,11.066919822996129
KYG037AX1015,2031,11.456677993882925
KYG037AX1015,2032,11.679735741317689
KYG037AX1015,2033,12.085615271908582
KYG037AX1015,2034,12.483454705335499
KYG037AX1015,2035,12.873212876221293
KYG037AX1015,2036,13.096270623655672
KYG037AX1015,2037,13.502150154246657
KYG037AX1015,2038,13.899989587673657
KYG037AX1015,2039,14.28974775855965
KYG037AX1015,2040,14.512805505994084
KYG037AX1015,2041,14.918685036585673
KYG037AX1015,2042,15.316524470011744
KYG037AX1015,2043,15.706282640898543
KYG037AX1015,2044,15.929340388333426
KYG037AX1015,2045,16.335219918923993
KYG037AX1015,2046,16.733059352350303
KYG037AX1015,2047,17.12281752323691
KYG037AX1015,2048,17.34587527067145
US0316521006,2023,834.9286087381645
US0316521006,2024,1011.7223379608595
US0316521006,2025,987.5546010584969
US0316521006,2026,951.4506788268178
US0316521006,2027,903.5044618799345
US0316521006,2028,1080.2981911018521
US0316521006,2029,1056.130454199096
US0316521006,2030,1020.0265319676657
US0316521006,2031,972.0803150196822
US0316521006,2032,1148.8740442423837
US0316521006,2033,1124.7063073405675
US0316521006,2034,1088.602385107913
US0316521006,2035,1040.6561681609483
US0316521006,2036,1217.449897384071
US0316521006,2037,1193.2821604821547
US0316521006,2038,1157.1782382496333
