ISIN,Industry,ESG SCORE,ENVIRONMENTAL SCORE,SOCIAL SCORE,GOVERNANCE SCORE,ESG Score Range,Mean ESG,ESG Classification,E Classification,S Classification,G Classification
JP3735300000,Semiconductors,1.6154462900039999,0.0,0.0,5.3848209666799995,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
JP3389680004,Semiconductors,2.803159231192,3.02293196182,1.08,4.23328815488,2-3,3.7648174326937798,Below Median,Leading,Below Median,Below Median
CNE000001F05,Semiconductors,4.6949985981,3.7586539506000003,5.1723426056,5.4661141205999995,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
CNE000000N97,Semiconductors,2.158177321776,0.9445114788299999,0.0,5.93457576748,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0005285001,Semiconductors,3.676958129900001,4.1360948117900005,1.5885238159200001,5.15321020136,3-4,3.7648174326937798,Leading,Above Median,Below Median,Leading
CNE0000017L3,Semiconductors,1.931112086936,0.06800301014,1.08,5.2663696096,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0006552003,Semiconductors,2.162972685192,0.72951361503,1.6500000000000001,4.587224130599999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0002375003,Semiconductors,3.176878486692,0.8999999999999999,4.17,5.21959495564,3-4,3.7648174326937798,Below Median,Below Median,Above Median,Leading
JP3281610000,Semiconductors,2.562752815212,1.4847637866899999,1.08,5.48282433512,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0002449006,Semiconductors,3.6184154958240002,3.5392166209500004,2.74401426912,4.59841522236,3-4,3.7648174326937798,Leading,Above Median,Leading,Leading
US4824801009,Semiconductors,5.333809824,6.33304205892,2.72258102416,6.61272897728,5-6,3.7648174326937798,Above Median,Above Median,Leading,Above Median
US5012421013,Semiconductors,5.183439638964,4.76383738254,4.47,6.45634895316,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US5128071082,Semiconductors,6.678283796394,6.4943220234,6.00511806494,7.59673189184,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
JP3979200007,Semiconductors,2.712209592252,0.61451147883,2.16,6.061350002399999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0003346003,Semiconductors,3.155551062312,3.15405379068,1.28852381592,5.02457467088,3-4,3.7648174326937798,Below Median,Leading,Below Median,Leading
US5184151042,Semiconductors,4.388582869588,3.5226041962,1.9500000000000002,7.98180397036,4-5,3.7648174326937798,Leading,Above Median,Below Median,Above Median
TW0003588000,Semiconductors,2.6843917891799993,1.9578740502599996,1.28852381592,5.048950080999999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
KR7058470006,Semiconductors,2.11067176725,0.0,2.89040302286,4.14516953464,2-3,3.7648174326937798,Below Median,Below Median,Leading,Below Median
TW0002472008,Semiconductors,2.83978682498,2.45372731232,2.06852381592,4.12579585092,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
TW0002369006,Semiconductors,3.434544466712,3.44965196831,2.3703668682400005,4.47857872972,3-4,3.7648174326937798,Below Median,Leading,Below Median,Below Median
TW0004979000,Semiconductors,3.880085735864,3.67103943098,2.4765956676,5.56230421064,3-4,3.7648174326937798,Leading,Above Median,Below Median,Above Median
US55405Y1001,Semiconductors,4.42780678708,4.47942231538,2.26049671168,6.526296158079999,4-5,3.7648174326937798,Leading,Above Median,Below Median,Above Median
TW0002337003,Semiconductors,4.915889667507999,3.36430052272,6.97768083564,4.922884025759999,4-5,3.7648174326937798,Above Median,Leading,Above Median,Leading
US55933J2033,Semiconductors,2.87303186556,1.1192553698999999,1.6500000000000001,6.434432392000001,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
MYL3867OO008,Semiconductors,3.91335607056,3.0954720069899997,4.59892590524,4.31829832064,3-4,3.7648174326937798,Leading,Leading,Above Median,Below Median
US5738741041,Semiconductors,7.155515127244,6.69532525066,6.915432891839999,8.00918386476,7-8,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US57776J1007,Semiconductors,2.4558788846279995,0.04451147883,2.20628746032,5.92062685,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
CNE100003QK4,Semiconductors,3.85219084668,2.66966714703,4.5264500808,4.754629878759999,3-4,3.7648174326937798,Leading,Leading,Above Median,Leading
TW0003527008,Semiconductors,3.25414663034,3.2374891210700003,1.9500000000000002,4.58050327304,3-4,3.7648174326937798,Below Median,Leading,Below Median,Leading
TW0002454006,Semiconductors,5.278334497594,6.412887945309999,3.75585941326,5.288071651639999,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
JP3920860008,Semiconductors,2.44080387498,2.0499857427,0.3,5.1026985929999995,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
