Isin,Year,SR001,SR002,SR003,SR004
US7509171069,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002379005,2018,2.25999999,0.998767436,1.920129895,4.893061638
TW0002302007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3164720009,2018,3.950000048,3.650603771,2.917806149,5.56317091
US7631651079,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0004968003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008104001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ES0105225009,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100003RK2,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3982800009,2018,3.819999933,2.846500158,4.512370586,4.548432827
JP3982200002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3976200000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3975410006,2018,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
JP3322950001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE000000KB3,2018,1.429999948,0,0.857391536,5.234702587
JP3329600005,2018,1.679999948,1.219829321,1.103526831,3.073620796
DE0005156236,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003583001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3494600004,2018,3.880000114,4.928686142,2.528281927,4.02530241
TW0002351004,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3418400002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US8168501018,2018,1.779999971,0,1.103526831,6.718126774
CH0406705126,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KR7046890000,2018,2.069999933,1.045883536,1.624035358,4.334952831
US8173232070,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100002NT4,2018,1.129999995,0,0,5.432784557
CNE000000XB6,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100000510,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100002G84,2018,0.949999988,0,0,4.38480854
CNE100000Q50,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3355000005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3371600002,2018,2.859999895,3.329393148,2.528281927,2.598634481
JP3375800004,2018,2.140000105,2.159596682,1.103526831,3.356525421
KYG811801045,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006257009,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002363009,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US8269191024,2018,3.529999971,5.04021883,0.320985734,6.136012077
US82706C1080,2018,1.120000005,1.349096656,0.127523139,2.043683052
TW0003530002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003288007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DE000WAF3001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0005483002,2018,#N/A N/A,2.551167965,4.464822769,4.77430582
US82982T1060,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008016007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KR7000660001,2018,3.549999952,3.987581253,1.624035358,5.31802845
JP3162640001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
